Code	Name
1177	(product_id - 60)big time gaming(LATAM)	Slots (game_type_id - 1)
1184	(product_id - 61)Rich88	Slots (game_type_id - 1)
1185	(product_id - 62)SA Gaming	Live Casino - game_type_id - 2
1115	(product_id - 63)BOOMING GAMES	Slots (game_type_id - 1)
1192	(product_id - 64)AMIGO GAMING	Slots (game_type_id - 1)
1193	(product_id - 65)FB Games	Live Casino - game_type_id - 2
1197	(product_id - 66)Habanero	Slots (game_type_id - 1)
1203	(product_id - 67)PlayAce	(Slots - game_type_id -1) | Live Casino - game_type_id 2
1221	(product_id - 68)SPADE GAMING	Slots  (game_type_id - 1)|  (Fishing - game_type_id - 8)
1204	(product_id - 69)ADVANTPLAY	Slots (game_type_id - 1)
1222	(product_id - 70)TF Gaming 	Esport - game_type_id 11
1220	(product_id - 71)ASTAR	(Live Casino - game_type_id - 2) | (Other - game_type_id - 13) | (Poker - game_type_id -12)
		
		
		
		
		
		
		hi sir, please check database/seeder/GameTypeTableSeeder - ProductTableSeeder and update correctly with matching product_id and game_type_id in GameTypeProductTableSeeder. i wil provide product_id and game_type_id '
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
